Tactic ID,Tactic Name,ID,Technique Name,Sub-Technque/ Indicator #,Sub-Technique Description/Indicator,"Where Can I Detect?  Proxess, Logs, files, Sysmon, MDE",DoDI 8530.01 Cybersecurity Activity,Day Assessed,# of Attempted Exploits,Sensor Detected,Host Name,Host IP,URL,Sensor Block/Contained,Sensor Alert,Analyst  Actioned,Event Contained,All Events Detected?,Blocked by System,Required Alerts Generated,Analyst Actions Complete,Effective (Y/N),Observations,Detection Recommendations MITRE ATT&CK  Command Execution,Web Credential,Application,OS API Execution,Command,Image,Service ,Driver,Module Load,Process Creation,Schedule Job Creation,File,File Modification,Logon Session,User Accounts,Active Directory,Named Pipe,Network Traffic,Network Share,Network Traffic Flow,Script,Cloud Service,Windows Registry,File Access,Firewall Enumeration,Firewall Metadata
,,,,T1546.006,LC_LOAD_DYLIB Addition,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1546.007,Netsh Helper DLL,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1546.008,Accessibility Features,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1546.009,AppCert DLLs,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1546.010,AppInit DLLs,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1546.011,Application Shimming,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1546.012,Image File Execution Options Injection,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1546.013,PowerShell Profile,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1546.014,Emond,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1546.015,Component Object Model Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1068,Exploitation for Privilege Escalation,T1068.000,Exploitation for Privilege Escalation,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1574,Hijack Execution Flow,T1574.001,DLL Search Order Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.002,DLL Side-Loading,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.004,Dylib Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.005,Executable Installer File Permissions Weakness,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.006,Dynamic Linker Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.007,Path Interception by PATH Environment Variable,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.008,Path Interception by Search Order Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.009,Path Interception by Unquoted Path,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.010,Services File Permissions Weakness,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.011,Services Registry Permissions Weakness,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.012,COR_PROFILER,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.013,KernelCallbackTable,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1055,Process Injection,T1055.001,Dynamic-link Library Injection,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1055.002,Portable Executable Injection,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1055.003,Thread Execution Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1055.004,Asynchronous Procedure Call,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1055.005,Thread Local Storage,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1055.008,Ptrace System Calls,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1055.009,Proc Memory,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1055.011,Extra Window Memory Injection,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1055.012,Process Hollowing,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1055.013,Process Doppelgänging,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1055.014,VDSO Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1055.015,ListPlanting,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1053,Scheduled Task/Job,T1053.002,At,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1053.003,Cron,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1053.004,Launchd,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1053.005,Scheduled Task,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Audit	
Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. 

Operating System Configuration	
Configure settings for scheduled tasks to force tasks to run under the context of the authenticated account instead of allowing them to run as SYSTEM. The associated Registry key is located at HKLM\SYSTEM\CurrentControlSet\Control\Lsa\SubmitControl. The setting can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > Security Options: Domain Controller: Allow server operators to schedule tasks, set to disabled. 

Privileged Account Management	
Configure the Increase Scheduling Priority option to only allow the Administrators group the rights to schedule a priority process. This can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Increase scheduling priority. 

User Account Management	
Limit privileges of user accounts and remediate Privilege Escalation vectors so only authorized administrators can create scheduled tasks on remote systems.",,,,"Monitor executed commands and arguments for actions that could be taken to gather tasks may also be created through Windows system management tools such as Windows Management Instrumentation and PowerShell, so additional logging may need to be configured to gather the appropriate data.",,,,,"Monitor for newly constructed processes and/or command-lines that execute from the svchost.exe in Windows 10 and the Windows Task Scheduler taskeng.exe for older versions of Windows. [167] If scheduled tasks are not used for persistence, then the adversary is likely to remove the task when the action is complete.","Monitor for newly constructed scheduled jobs by enabling the ""Microsoft-Windows-TaskScheduler/Operational"" setting within the event logging service. [168] Several events will then be logged on scheduled task activity, including: Event ID 106 on Windows 7, Server 2008 R2 - Scheduled task registered; Event ID 4698 on Windows 10, Server 2016 - Scheduled task created;Event ID 4700 on Windows 10, Server 2016 - Scheduled task enabled;Event ID 4701 on Windows 10, Server 2016 - Scheduled task disabled",,,,,,,,,,,,,"Monitor Windows Task Scheduler stores in %systemroot%\System32\Tasks for change entries related to scheduled tasks that do not correlate with known software, patch cycles, etc.",,
,,,,T1053.006,Systemd Timers,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1053.007,Container Orchestration Job,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1078,Valid Accounts,T1078.001,Default Accounts,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1078.002,Domain Accounts,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Multi-factor Authentication	
Integrating multi-factor authentication (MFA) as part of organizational policy can greatly reduce the risk of an adversary gaining control of valid credentials that may be used for additional tactics such as initial access, lateral movement, and collecting information. MFA can also be used to restrict access to cloud resources and APIs.

Privileged Account Management	
Audit domain account permission levels routinely to look for situations that could allow an adversary to gain wide access by obtaining credentials of a privileged account. Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled and use of accounts is segmented, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers. Limit credential overlap across systems to prevent access if account credentials are obtained.

User Training	
Applications may send push notifications to verify a login as a form of multi-factor authentication (MFA). Train users to only accept valid push notifications and to report suspicious push notifications.",,,,,,,,,,,,,"Logon Session Creation	
Monitor for suspicious account behavior across systems that share accounts, either user, admin, or service accounts. Examples: one account logged into multiple systems simultaneously; multiple accounts logged into the same machine simultaneously; accounts logged in at odd times or outside of business hours. Activity may be from interactive login sessions or process ownership from accounts being used to execute binaries on a remote system as a particular account.

Logon Session Metadata	
Correlate other security systems with login information (e.g., a user has an active login session but has not entered the building or does not have VPN access).","	User Account Authentication	
Monitor for an attempt by a user to gain access to a network or computing resource, often by the use of domain authentication services, such as the System Security Services Daemon (sssd) on Linux",,,,,,,,,,,
,,,,T1078.003,Local Accounts,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1078.004,Cloud Accounts,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA0005,Defense Evasion,T1548,Abuse Elevation Control Mechanism,T1548.001,Setuid and Setgid,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1548.002,Bypass User Account Control,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1548.003,Sudo and Sudo Caching,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1548.004,Elevated Execution with Prompt,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1134,Access Token Manipulation,T1134.001,Token Impersonation/Theft,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Privileged Account Management	
Limit permissions so that users and user groups cannot create tokens. This setting should be defined for the local system account only. GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Create a token object. Also define who can create a process level token to only the local and network service through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Replace a process level token.

Administrators should log in as a standard user but run their tools with administrator privileges using the built-in access token manipulation command runas.

User Account Management	
An adversary must already have administrator level access on the local system to make full use of this technique; be sure to restrict users and accounts to the least privileges they require.",,,,"Command Execution	
Monitor executed commands and arguments to detect token manipulation by auditing command-line activity. Specifically, analysts should look for use of the runas command. Detailed command-line logging is not enabled by default in Windows.",,,,,,,,,,,,,,,,,,,,,
,,,,T1134.002,Create Process with Token,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1134.003,Make and Impersonate Token,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1134.004,Parent PID Spoofing,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
",,,,,,,,,"Process Creation	
Monitor for newly constructed processes and/or command-lines that may abuse mechanisms to evade defenses, such as those blocking processes spawning directly from Office documents, and analysis targeting unusual/potentially malicious parent-child process relationships, such as spoofing the PPID of PowerShell/Rundll32 to be explorer.exe

Process Metadata	
Look for inconsistencies between the various fields that store PPID information, such as the EventHeader ProcessId from data collected via Event Tracing for Windows (ETW), Creator Process ID/Name from Windows event logs, and the ProcessID and ParentProcessID (which are also produced from ETW and other utilities such as Task Manager and Process Explorer). The ETW provided EventHeader ProcessId identifies the actual parent process.",,,,,,,,,,,,,,,,
,,,,T1134.005,SID-History Injection,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1197,BITS Jobs,T1197.000,BITS Jobs,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1612,Build Image on Host,T1612.000,Build Image on Host,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1622,Debugger Evasion,T1622.000,Debugger Evasion,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1140,Deobfuscate/Decode Files or Information,T1140.000,Deobfuscate/Decode Files or Information,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1610,Deploy Container,T1610.000,Deploy Container,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1006,Direct Volume Access,T1006.000,Direct Volume Access,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1484,Domain Policy Modification,T1484.001,Group Policy Modification,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1484.002,Domain Trust Modification,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1480,Execution Guardrails,T1480.000,Environmental Keying,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1211,Exploitation for Defense Evasion,T1211.000,Exploitation for Defense Evasion,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1222,File and Directory Permissions Modification,T1222.001,Windows File and Directory Permissions Modification,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1222.002,Linux and Mac File and Directory Permissions Modification,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1564,Hide Artifacts,T1564.001,Hidden Files and Directories,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1564.002,Hidden Users,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1564.003,Hidden Window,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1564.004,NTFS File Attributes,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1564.005,Hidden File System,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1564.006,Run Virtual Instance,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1564.007,VBA Stomping,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1564.008,Email Hiding Rules,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1564.009,Resource Forking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1564.010,Process Argument Spoofing,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1574,Hijack Execution Flow,T1574.001,DLL Search Order Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.002,DLL Side-Loading,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.004,Dylib Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.005,Executable Installer File Permissions Weakness,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.006,Dynamic Linker Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.007,Path Interception by PATH Environment Variable,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.008,Path Interception by Search Order Hijacking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.009,Path Interception by Unquoted Path,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.010,Services File Permissions Weakness,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.011,Services Registry Permissions Weakness,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.012,COR_PROFILER,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1574.013,KernelCallbackTable,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1562,Impair Defenses,T1562.001,Disable or Modify Tools,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1562.002,Disable Windows Event Logging,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1562.003,Impair Command History Logging,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1562.004,Disable or Modify System Firewall,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1562.006,Indicator Blocking,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1562.007,Disable or Modify Cloud Firewall,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1562.008,Disable Cloud Logs,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1562.009,Safe Mode Boot,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1562.010,Downgrade Attack,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1070,Indicator Removal on Host,T1070.001,Clear Windows Event Logs,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1070.002,Clear Linux or Mac System Logs,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1070.003,Clear Command History,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1070.004,File Deletion,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.,,,,"Command Execution	
Monitor executed commands and arguments for actions that could be utilized to unlink, rename, or delete files.",,,,,,,,,,,,,,,,,,,"File Deletion	
Monitor for unexpected deletion of files from the system",,
,,,,T1070.005,Network Share Connection Removal,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
",,,,"Monitor executed commands and arguments of net use commands associated with establishing and removing remote shares over SMB, including following best practices for detection of Windows Admin Shares.",,,,,Monitor for newly constructed processes and/or command line execution that can be used to remove network share connections via the net.exe process.,,,,,"Monitoring for Windows authentication logs are also useful in determining when authenticated network shares are established and by which account, and can be used to correlate network share activity to other events to investigate potentially malicious activity.",,,Monitoring for SMB traffic between systems may also be captured and decoded to look for related network share session and file transfer activity.,,,,,,,,
,,,,T1070.006,Timestomp,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.,,,,,,,,,,,,,,,,,,,,,,,"File Metadata	
Monitor for file modifications that collects information on file handle opens and can compare timestamp values

File Modification	
Monitor for unexpected modifications to file timestamps",,
,,T1202,Indirect Command Execution,T1202.000,Indirect Command Execution,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1036,Masquerading,T1036.001,Invalid Code Signature,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1036.002,Right-to-Left Override,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1036.003,Rename System Utilities,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1036.004,Masquerade Task or Service,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
",,,,Monitor executed commands and arguments that may attempt to manipulate the name of a task or service to make it appear legitimate or benign.,,"Service Creation	
Monitor for newly constructed services/daemons. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as network connections made for Command and Control, learning details about the environment through Discovery, and Lateral Movement.

Service Metadata	
Monitor for changes made to services for unexpected modifications to names, descriptions, and/or start types",,,,"	Scheduled Job Metadata	
Monitor for contextual data about a scheduled job, which may include information such as name, timing, command(s), etc.

Scheduled Job Modification	
Monitor for changes made to scheduled jobs for unexpected modifications to execution launch",,,,,,,,,,,,,,,
,,,,T1036.005,Match Legitimate Name or Location,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,"Code Signing	
Require signed binaries and images.

Execution Prevention	
Use tools that restrict program execution via application control by attributes other than file name for common operating system utilities that are needed.

Restrict File and Directory Permissions	
Use file system access controls to protect folders such as C:\Windows\System32.",,,,,"In containerized environments, use image IDs and layer hashes to compare images instead of relying only on their names. Monitor for the unexpected creation of new resources within your cluster in Kubernetes, especially those created by atypical users.",,,,"Collecting and comparing disk and resource filenames for binaries by looking to see if the InternalName, OriginalFilename, and/or ProductName match what is expected could provide useful leads, but may not always be indicative of malicious activity.",,,"Collect file hashes; file names that do not match their expected hash are suspect. Perform file monitoring; files with known names but in unusual locations are suspect. Likewise, files that are modified outside of an update or patch are suspect.",,,,,,,,,,,,,
,,,,T1036.006,Space after Filename,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1036.007,Double File Extension,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T1556,Modify Authentication Process,T1556.001,Domain Controller Authentication,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1556.002,Password Filter DLL,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1556.003,Pluggable Authentication Modules,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,T1556.004,Network Device Authentication,,"AS&W, IH",,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
